First Bank Card,Transaction Type,Date Posted,Transaction Amount,Description
5510290061711841,CREDIT,20250801,719.58,[DN]   B/M PAY-PAIE PAY/PAY
5510290061711841,DEBIT,20250730,125.43,WALMART GROCERY STORE
5510290061711841,CREDIT,20250725,2500.00,SALARY DEPOSIT - ACME CORP
5510290061711841,DEBIT,20250722,45.67,STARBUCKS COFFEE SHOP
5510290061711841,DEBIT,20250720,89.99,AMAZON PRIME SHOPPING
5510290061711841,DEBIT,20250718,32.50,UBER RIDE SERVICE
5510290061711841,DEBIT,20250715,15.99,NETFLIX SUBSCRIPTION
5510290061711841,DEBIT,20250712,156.78,TARGET DEPARTMENT STORE
5510290061711841,DEBIT,20250710,75.00,AT&T MOBILE BILL
5510290061711841,DEBIT,20250708,28.90,CVS PHARMACY
5510290061711841,DEBIT,20250705,67.80,CHIPOTLE RESTAURANT
5510290061711841,CREDIT,20250801,350.00,FREELANCE PAYMENT
